,NAME,ADDRESS,CITY,STATE,ZIP,LEVEL,ENROLLMENT,START_GRADE,END_GRADE,DISTRICT_ID
0,LOGANSPORT JUVENILE COR FAC,LOGANSPORT ST HOSP-WEST SIDE,LOGANSPORT,IN,46947,3,122,07,12,1800006
1,NORTHEASTERN ELEMENTARY SCH,534 W WALLACE RD,FOUNTAIN CITY,IN,47341,1,551,PK,05,1808190
2,HAZEL DELL ELEMENTARY SCHOOL,3025 WESTFIELD RD,NOBLESVILLE,IN,46062,1,702,PK,05,1807650
3,BROWNSBURG WEST MIDDLE SCHOOL,1555 S ODELL ST,BROWNSBURG,IN,46112,2,914,06,08,1801020
4,FRANKLIN ELEMENTARY SCHOOL,410 W MIAMI AVE,LOGANSPORT,IN,46947,1,398,KG,05,1806030
5,CONCORD WEST SIDE ELEM SCHOOL,230 W MISHAWAKA RD,ELKHART,IN,46517,1,509,KG,04,1802400
6,CRISPUS ATTUCKS MEDICAL MAGNET HS,1140 DR M LUTHER KING JR ST,INDIANAPOLIS,IN,46202,3,540,09,12,1804770
7,MORGAN TOWNSHIP ELEMENTARY SCHOOL,299 S SR 49,VALPARAISO,IN,46383,1,334,KG,05,1809000
8,SYCAMORE ELEMENTARY SCHOOL,7878 E CR 100 N,AVON,IN,46123,1,420,KG,04,1800270
9,INDIANAPOLIS METROPOLITAN HIGH SCH,1635 W MICHIGAN ST,INDIANAPOLIS,IN,46222,3,261,09,12,1800064
10,SILVER CREEK HIGH SCHOOL,557 RENZ AVE,SELLERSBURG,IN,47172,3,890,09,12,1809370
11,SOUTHPORT 6TH GRADE ACADEMY,5715 S KEYSTONE AVE,INDIANAPOLIS,IN,46227,2,545,06,06,1808820
12,FISHERS ELEMENTARY SCHOOL,11442 LANTERN RD,FISHERS,IN,46038,1,467,KG,04,1810650
13,VIRGIL I BAILEY ELEMENTARY SCHOOL,2100 UNION ST,LAKE STATION,IN,46405,1,384,KG,06,1802910
14,FISHERS JUNIOR HIGH SCHOOL,13257 CUMBERLAND RD,FISHERS,IN,46038,2,1072,07,08,1810650
15,SCIPIO ELEMENTARY SCHOOL,6320 N HWY 7,SCIPIO,IN,47273,1,300,KG,06,1805190
16,ABRAHAM LINCOLN ELEM SCH,4221 TOWLE AVE,HAMMOND,IN,46327,1,661,PK,05,1804320
17,BROWN COUNTY JUNIOR HIGH,95 S SCHOOLHOUSE LN,NASHVILLE,IN,47448,2,323,07,08,1800960
18,HAYDEN ELEMENTARY SCHOOL,55 S CR 685 W,HAYDEN,IN,47245,1,268,KG,06,1805190
19,CEDAR ELEMENTARY SCHOOL,685 S AVON AVENUE,AVON,IN,46123,1,687,KG,04,1800270
20,EAST CENTRAL HIGH SCHOOL,1 TROJAN PL,ST LEON,IN,47012,3,1306,09,12,1811190
21,LANDIS ELEMENTARY SCHOOL,1 LANDIS LN,LOGANSPORT,IN,46947,1,786,KG,05,1806030
22,UNION ELEMENTARY SCHOOL,11750 E 300 S,ZIONSVILLE,IN,46077,1,583,PK,04,1802830
23,CHURUBUSCO JR-SR HIGH SCHOOL,1 EAGLE DR,CHURUBUSCO,IN,46723,4,660,06,12,1810230
24,THE EXCEL CENTER - ANDERSON,630 NICHOLS AVE,ANDERSON,IN,46016,3,339,09,12,1800116
25,ROSSVILLE MIDDLE/SENIOR HIGH SCH,1 ROBERT EGLY DR,ROSSVILLE,IN,46065,4,580,06,12,1809720
26,ALLEN ELEMENTARY SCHOOL,1115 E BRADFORD ST,MARION,IN,46952,1,387,KG,04,1806390
27,CENTER GROVE MIDDLE SCHOOL NORTH,202 N MORGANTOWN RD,GREENWOOD,IN,46142,2,884,06,08,1801440
28,CRAWFORD COUNTY JR-SR HS,1130 S SR 66,MARENGO,IN,47140,3,714,07,12,1802440
29,TRI-COUNTY INTERMEDIATE SCHOOL,200 W NORTH,WOLCOTT,IN,47995,1,222,03,06,1811430
30,ARGOS COMM JR-SR HIGH SCHOOL,500 YEARICK AVE,ARGOS,IN,46501,3,290,07,12,1800180
31,JIMTOWN JUNIOR HIGH SCHOOL,58903 CR 3 S,ELKHART,IN,46517,2,319,07,08,1800420
32,THOMAS CARR HOWE COMM HIGH SCHOOL,4900 JULIAN AVE,INDIANAPOLIS,IN,46201,3,633,07,12,1800126
33,CHRISTEL HOUSE ACADEMY SOUTH,2717 S EAST ST,INDIANAPOLIS,IN,46225,4,635,KG,12,1800018
34,JAMES WHITCOMB RILEY ELEM SCH,1008 UPPER 11TH ST,VINCENNES,IN,47591,1,179,KG,05,1812120
35,CLAY CITY ELEMENTARY SCHOOL,681 N LANKFORD ST,CLAY CITY,IN,47841,1,364,KG,06,1800840
36,RYAN PARK ELEMENTARY SCH,1000 S JOHN MCBRIDE AVE,ANGOLA,IN,46703,1,443,KG,05,1811100
37,ELIZABETH STARR ACAD FOR YOUNG ENT,301 N 19TH ST,RICHMOND,IN,47374,1,384,PK,04,1809510
38,JAC-CEN-DEL ELEMENTARY,4544 N US 421,OSGOOD,IN,47037,1,435,KG,06,1804800
39,EDGELEA ELEMENTARY SCHOOL,2910 S 18TH ST,LAFAYETTE,IN,47909,1,616,KG,04,1805400
40,GEORGE WASHINGTON COMMUNITY HS,2215 W WASHINGTON ST,INDIANAPOLIS,IN,46222,3,848,09,12,1804770
41,WEST WASHINGTON ELEM SCH,8030 W BATT RD,CAMPBELLSBURG,IN,47108,1,410,KG,06,1812930
42,WINSLOW ELEMENTARY SCHOOL,301 E PORTER ST,WINSLOW,IN,47598,1,313,PK,05,1808900
43,LINCOLN MIDDLE SCHOOL,205 PARKWAY DR,CAMBRIDGE CITY,IN,47327,2,230,06,08,1813050
44,PENDLETON ELEMENTARY SCHOOL,327 S EAST ST,PENDLETON,IN,46064,1,927,PK,06,1810440
45,LITTLE QUAKERS ACADEMY,401 ELM DR,PLAINFIELD,IN,46168,1,73,PK,PK,1808970
46,EVERTON ELEMENTARY SCHOOL,2440 E EVERTON RD,CONNERSVILLE,IN,47331,1,263,KG,06,1803510
47,FRONTIER JR-SR HIGH SCHOOL,109 N SIXTH ST,CHALMERS,IN,47929,3,349,07,12,1803810
48,TAYLOR ELEMENTARY SCHOOL,5500 WEA DR,KOKOMO,IN,46902,1,547,PK,05,1811250
49,CLARK ELEMENTARY SCHOOL,CR 700 N & 575 E,FRANKLIN,IN,46131,1,614,KG,04,1801890
50,ROCHESTER COMMUNITY HIGH SCH,1 ZEBRA LN,ROCHESTER,IN,46975,3,532,09,12,1809630
51,PRINCETON COMM INTERMEDIATE SCHOOL,1108 N EMBREE ST,PRINCETON,IN,47670,1,480,01,05,1807770
52,SARAH SCOTT MIDDLE SCH,1000 GRANT ST,TERRE HAUTE,IN,47802,2,461,06,08,1812090
53,LONGFELLOW ELEMENTARY SCHOOL,45TH/CALHOUN STS,GARY,IN,46408,1,540,KG,05,1805460
54,WAKARUSA ELEMENTARY SCHOOL,400 N WASHINGTON ST,WAKARUSA,IN,46573,1,560,KG,05,1812240
55,CENTRAL ELEMENTARY SCHOOL,110 WABASH ST,PLAINFIELD,IN,46168,1,573,KG,05,1808970
