Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
46511,4254.0,46.9,52570.0,32929.0,348.0,8.180535966149506
46526,32513.0,36.0,54187.0,24312.0,4495.0,13.825239135115185
46528,27165.0,32.6,63537.0,26499.0,2439.0,8.978464936499172
46544,31359.0,38.0,47778.0,25268.0,4324.0,13.788704996970568
46553,3212.0,36.7,62829.0,24039.0,78.0,2.428393524283935
46571,5465.0,22.0,62857.0,20565.0,240.0,4.391582799634035
46595,129.0,19.6,58393.0,18072.0,38.0,29.45736434108527
46703,18292.0,41.6,55176.0,27845.0,1879.0,10.272250164006122
46705,1676.0,37.8,53500.0,28523.0,186.0,11.097852028639618
46714,14852.0,38.2,50000.0,25852.0,1730.0,11.648262860220846
46731,595.0,48.5,45868.0,28833.0,18.0,3.0252100840336134
46766,865.0,50.8,65491.0,32479.0,32.0,3.699421965317919
46767,8347.0,32.6,54775.0,23553.0,577.0,6.91266323229903
46011,17467.0,42.6,58000.0,28320.0,1885.0,10.791778782847656
46013,16988.0,41.1,40673.0,23761.0,2702.0,15.90534494937603
46041,22664.0,37.1,49926.0,23592.0,3111.0,13.726614895870103
47369,1327.0,44.7,44948.0,23177.0,189.0,14.242652599849285
47952,3056.0,45.0,42117.0,20802.0,529.0,17.31020942408377
47104,38.0,59.8,-666666666.0,60905.0,0.0,0.0
47110,840.0,30.5,66458.0,14961.0,20.0,2.380952380952381
47306,4982.0,19.5,-666666666.0,6821.0,8.0,0.16057808109193095
47324,162.0,39.8,31500.0,16527.0,46.0,28.395061728395063
47335,647.0,47.1,37857.0,24064.0,130.0,20.09273570324575
47367,23.0,-666666666.0,-666666666.0,,12.0,52.17391304347826
47388,287.0,37.5,37083.0,19114.0,54.0,18.81533101045296
47405,3821.0,19.3,-666666666.0,16483.0,0.0,0.0
47434,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
47437,148.0,66.6,-666666666.0,70870.0,17.0,11.486486486486486
47457,170.0,26.9,78500.0,24034.0,0.0,0.0
47458,28.0,46.5,-666666666.0,,0.0,0.0
