School,City,State,Lat,Lng
ANCILLA COLLEGE,DONALDSON,IN,,
ANDERSON UNIVERSITY,ANDERSON,IN,40.1053196,-85.6802541
BALL STATE UNIVERSITY,MUNCIE,IN,40.1933767,-85.3863599
BETHEL COLLEGE,MISHAWAKA,IN,41.6619927,-86.15861559999999
BUTLER UNIVERSITY,INDIANAPOLIS,IN,39.768403,-86.158068
CALUMET COLLEGE,WHITING,IN,41.6797578,-87.4944873
CONCORDIA THEOLOGICAL SEMINARY,FORT WAYNE,IN,41.079273,-85.1393513
DAVENPORT COLLEGE,GRANGER,IN,41.7533819,-86.11083769999999
DEACONESS HOSPITAL SCHOOL OF NURSING,EVANSVILLE,IN,37.9715592,-87.5710898
DEPAUW UNIVERSITY,GREENCASTLE,IN,39.6444898,-86.8647316
EARLHAM COLLEGE,RICHMOND,IN,39.8289369,-84.8902382
FAIRHAVEN COLLEGE,CHESTERTON,IN,41.6105937,-87.06419919999999
FRANKLIN COLLEGE,FRANKLIN,IN,39.4806055,-86.0549863
GOSHEN COLLEGE,GOSHEN,IN,41.5868377,-85.8267552
GRACE COLLEGE,WINONA LAKE,IN,41.2272668,-85.8219345
GRACE THEOLOGICAL SEMINARY,WINONA LAKE,IN,41.2272668,-85.8219345
HANOVER COLLEGE,HANOVER,IN,38.7142263,-85.4735707
HOLY CROSS JUNIOR COLLEGE,SOUTH BEND,IN,41.6763545,-86.25198979999999
HUNTINGTON COLLEGE,HUNTINGTON,IN,40.8831011,-85.49747599999999
HYLES-ANDERSON COLLEGE,CROWN POINT,IN,41.4169806,-87.3653135
INDIANA INSTITUTE OF TECHNOLOGY,FORT WAYNE,IN,41.079273,-85.1393513
INDIANA STATE UNIVERSITY,TERRE HAUTE,IN,39.4667034,-87.41390919999999
INDIANA UNIVERSITY AT KOKOMO,KOKOMO,IN,40.486427,-86.13360329999999
INDIANA UNIVERSITY AT SOUTH BEND,SOUTH BEND,IN,41.6763545,-86.25198979999999
INDIANA UNIVERSITY EAST,RICHMOND,IN,39.8289369,-84.8902382
INDIANA UNIVERSITY NORTHWEST,GARY,IN,41.6020403,-87.3371523
INDIANA UNIVERSITY SOUTHEAST,NEW ALBANY,IN,38.2856247,-85.8241312
INDIANA UNIVERSITY-BLOOMINGTON,BLOOMINGTON,IN,39.165325,-86.52638569999999
INDIANA UNIV-PURDUE UNIV AT FORT WAYNE,FORT WAYNE,IN,41.079273,-85.1393513
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,INDIANAPOLIS,IN,39.768403,-86.158068
INDIANA WESLEYAN UNIVERSITY,MARION,IN,40.5583739,-85.6591442
IVY TECH STATE COLLEGE-CENTRAL INDIANA,INDIANAPOLIS,IN,39.768403,-86.158068
IVY TECH STATE COLLEGE-KOKOMO,KOKOMO,IN,40.486427,-86.13360329999999
IVY TECH STATE COLLEGE-LAFAYETTE,LAFAYETTE,IN,40.4167022,-86.87528689999999
IVY TECH STATE COLLEGE-NORTHEAST,FORT WAYNE,IN,41.079273,-85.1393513
IVY TECH STATE COLLEGE-SOUTHWEST,EVANSVILLE,IN,37.9715592,-87.5710898
LOCKYEAR COLLEGE,EVANSVILLE,IN,37.9715592,-87.5710898
LUTHERAN COLL OF HEALTH PROFESSIONS,FORT WAYNE,IN,41.079273,-85.1393513
MANCHESTER COLLEGE,NORTH MANCHESTER,IN,,
MARIAN COLLEGE,INDIANAPOLIS,IN,39.768403,-86.158068
MARTIN UNIVERSITY,INDIANAPOLIS,IN,39.768403,-86.158068
MID-AMERICA COLLEGE OF FUNERAL SERVICE,JEFFERSONVILLE,IN,38.2775702,-85.7371847
OAKLAND CITY COLLEGE,OAKLAND CITY,IN,38.3386591,-87.3450132
PARKVIEW-METHODIST SCHOOL OF NURSING,FORT WAYNE,IN,41.079273,-85.1393513
PURDUE UNIVERSITY,WEST LAFAYETTE,IN,40.4258686,-86.90806549999999
PURDUE UNIVERSITY-CALUMET,HAMMOND,IN,41.5833688,-87.5000412
PURDUE UNIVERSITY-NORTH CENTRAL CAMPUS,WESTVILLE,IN,41.54142969999999,-86.9005825
ROSE-HULMAN INSTITUTE OF TECH,TERRE HAUTE,IN,39.4667034,-87.41390919999999
ST ELIZABETH SCHOOL OF NURSING,LAFAYETTE,IN,40.4167022,-86.87528689999999
ST FRANCIS COLLEGE,FORT WAYNE,IN,41.079273,-85.1393513
ST JOSEPH'S COLLEGE,RENSSELAER,IN,40.9367045,-87.15085619999999
ST MARY-OF-THE-WOODS COLLEGE,ST MARY-OF-THE-WOODS,IN,,
ST MARY'S COLLEGE,SOUTH BEND,IN,41.6763545,-86.25198979999999
SUMMIT CHRISTIAN COLLEGE,FORT WAYNE,IN,41.079273,-85.1393513
TAYLOR UNIVERSITY,UPLAND,IN,40.4755974,-85.4944168
TRI-STATE UNIVERSITY,ANGOLA,IN,41.6347726,-84.9994088
UNIVERSITY OF EVANSVILLE,EVANSVILLE,IN,37.9715592,-87.5710898
UNIVERSITY OF INDIANAPOLIS,INDIANAPOLIS,IN,39.768403,-86.158068
UNIVERSITY OF NOTRE DAME,SOUTH BEND,IN,41.6763545,-86.25198979999999
UNIVERSITY OF SOUTHERN INDIANA,EVANSVILLE,IN,37.9715592,-87.5710898
VALPARAISO UNIVERSITY,VALPARAISO,IN,41.4730948,-87.0611412
VINCENNES UNIVERSITY,VINCENNES,IN,38.677269,-87.5286325
WABASH COLLEGE,CRAWFORDSVILLE,IN,40.0411536,-86.87445160000001
