School,City,State,Lat,Lng,place_id,Zip Code
ANCILLA COLLEGE,DONALDSON,IN,41.3644842,-86.4441332,ChIJNykO2EVaEYgR6iuHCTAnQGc,46563
ANDERSON UNIVERSITY,ANDERSON,IN,40.1053196,-85.6802541,ChIJvRvrHQzZFIgRaG89vy-ipXg,46012
BALL STATE UNIVERSITY,MUNCIE,IN,40.1933767,-85.3863599,ChIJIR58aWY9FYgR9ImfGJvu4OQ,47306
BETHEL COLLEGE,MISHAWAKA,IN,41.6619927,-86.15861559999999,ChIJf2dC58HNFogRb1W460Xop8g,46545
BUTLER UNIVERSITY,INDIANAPOLIS,IN,39.768403,-86.158068,ChIJr8OliPpTa4gRPkUtyy7TxQM,46208
CALUMET COLLEGE,WHITING,IN,41.6797578,-87.4944873,ChIJ4-zpriPZEYgRVKD5Q2T6y2k,46394
CONCORDIA THEOLOGICAL SEMINARY,FORT WAYNE,IN,41.079273,-85.1393513,ChIJBZUXQdXiFYgR41Zsgf0DWw0,46825
DEACONESS HOSPITAL SCHOOL OF NURSING,EVANSVILLE,IN,37.9715592,-87.5710898,ChIJC31ykRrVcYgR82uJ6BZUfyA,47710
DEPAUW UNIVERSITY,GREENCASTLE,IN,39.6444898,-86.8647316,ChIJp5coR7LfbIgRmbxAHZy330s,46135
EARLHAM COLLEGE,RICHMOND,IN,39.8289369,-84.8902382,ChIJPbhwJrEBQIgRDMD-hfH0UW0,47374
FAIRHAVEN COLLEGE,CHESTERTON,IN,41.6105937,-87.06419919999999,ChIJU8qfPU-jEYgRnX0LaK6qvc4,46304
FRANKLIN COLLEGE,FRANKLIN,IN,39.4806055,-86.0549863,ChIJuWxvGOZua4gR79lD0GBEX7c,46131
GOSHEN COLLEGE,GOSHEN,IN,41.5868377,-85.8267552,ChIJ0fC3UPTsFogRswXigO3sjZA,46526
GRACE COLLEGE,WINONA LAKE,IN,41.2272668,-85.8219345,ChIJoQ-m_6GdFogRPu_aJZRUL_E,46590
GRACE THEOLOGICAL SEMINARY,WINONA LAKE,IN,41.2272668,-85.8219345,ChIJE4WWBMSdFogRcBmzi2VR5Hc,46590
HANOVER COLLEGE,HANOVER,IN,38.7142263,-85.4735707,ChIJRyZwm94vaogRisLnrKcsabY,47243
HOLY CROSS JUNIOR COLLEGE,SOUTH BEND,IN,41.6763545,-86.25198979999999,ChIJ275JTtHSFogRg_purimcnLU,46556
HUNTINGTON COLLEGE,HUNTINGTON,IN,40.8831011,-85.49747599999999,ChIJk_5rlZbJFYgRbenfs0Si_Mc,46750
HYLES-ANDERSON COLLEGE,CROWN POINT,IN,41.4169806,-87.3653135,ChIJXYPfxb3lEYgRcqOc71zBdHY,46307
