School,City,State
ANCILLA COLLEGE,DONALDSON,IN
ANDERSON UNIVERSITY,ANDERSON,IN
BALL STATE UNIVERSITY,MUNCIE,IN
BETHEL COLLEGE,MISHAWAKA,IN
BUTLER UNIVERSITY,INDIANAPOLIS,IN
CALUMET COLLEGE,WHITING,IN
CONCORDIA THEOLOGICAL SEMINARY,FORT WAYNE,IN
DAVENPORT COLLEGE,GRANGER,IN
DEACONESS HOSPITAL SCHOOL OF NURSING,EVANSVILLE,IN
DEPAUW UNIVERSITY,GREENCASTLE,IN
EARLHAM COLLEGE,RICHMOND,IN
FAIRHAVEN COLLEGE,CHESTERTON,IN
FRANKLIN COLLEGE,FRANKLIN,IN
GOSHEN COLLEGE,GOSHEN,IN
GRACE COLLEGE,WINONA LAKE,IN
GRACE THEOLOGICAL SEMINARY,WINONA LAKE,IN
HANOVER COLLEGE,HANOVER,IN
HOLY CROSS JUNIOR COLLEGE,SOUTH BEND,IN
HUNTINGTON COLLEGE,HUNTINGTON,IN
HYLES-ANDERSON COLLEGE,CROWN POINT,IN
INDIANA INSTITUTE OF TECHNOLOGY,FORT WAYNE,IN
INDIANA STATE UNIVERSITY,TERRE HAUTE,IN
INDIANA UNIVERSITY AT KOKOMO,KOKOMO,IN
INDIANA UNIVERSITY AT SOUTH BEND,SOUTH BEND,IN
INDIANA UNIVERSITY EAST,RICHMOND,IN
INDIANA UNIVERSITY NORTHWEST,GARY,IN
INDIANA UNIVERSITY SOUTHEAST,NEW ALBANY,IN
INDIANA UNIVERSITY-BLOOMINGTON,BLOOMINGTON,IN
INDIANA UNIV-PURDUE UNIV AT FORT WAYNE,FORT WAYNE,IN
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,INDIANAPOLIS,IN
INDIANA WESLEYAN UNIVERSITY,MARION,IN
IVY TECH STATE COLLEGE-CENTRAL INDIANA,INDIANAPOLIS,IN
IVY TECH STATE COLLEGE-KOKOMO,KOKOMO,IN
IVY TECH STATE COLLEGE-LAFAYETTE,LAFAYETTE,IN
IVY TECH STATE COLLEGE-NORTHEAST,FORT WAYNE,IN
IVY TECH STATE COLLEGE-SOUTHWEST,EVANSVILLE,IN
LOCKYEAR COLLEGE,EVANSVILLE,IN
LUTHERAN COLL OF HEALTH PROFESSIONS,FORT WAYNE,IN
MANCHESTER COLLEGE,NORTH MANCHESTER,IN
MARIAN COLLEGE,INDIANAPOLIS,IN
MARTIN UNIVERSITY,INDIANAPOLIS,IN
MID-AMERICA COLLEGE OF FUNERAL SERVICE,JEFFERSONVILLE,IN
OAKLAND CITY COLLEGE,OAKLAND CITY,IN
PARKVIEW-METHODIST SCHOOL OF NURSING,FORT WAYNE,IN
PURDUE UNIVERSITY,WEST LAFAYETTE,IN
PURDUE UNIVERSITY-CALUMET,HAMMOND,IN
PURDUE UNIVERSITY-NORTH CENTRAL CAMPUS,WESTVILLE,IN
ROSE-HULMAN INSTITUTE OF TECH,TERRE HAUTE,IN
ST ELIZABETH SCHOOL OF NURSING,LAFAYETTE,IN
ST FRANCIS COLLEGE,FORT WAYNE,IN
ST JOSEPH'S COLLEGE,RENSSELAER,IN
ST MARY-OF-THE-WOODS COLLEGE,ST MARY-OF-THE-WOODS,IN
ST MARY'S COLLEGE,SOUTH BEND,IN
SUMMIT CHRISTIAN COLLEGE,FORT WAYNE,IN
TAYLOR UNIVERSITY,UPLAND,IN
TRI-STATE UNIVERSITY,ANGOLA,IN
UNIVERSITY OF EVANSVILLE,EVANSVILLE,IN
UNIVERSITY OF INDIANAPOLIS,INDIANAPOLIS,IN
UNIVERSITY OF NOTRE DAME,SOUTH BEND,IN
UNIVERSITY OF SOUTHERN INDIANA,EVANSVILLE,IN
VALPARAISO UNIVERSITY,VALPARAISO,IN
VINCENNES UNIVERSITY,VINCENNES,IN
WABASH COLLEGE,CRAWFORDSVILLE,IN
